Wavelength nm.	mq_01 - ...	chemocean_06 - ...	chemocean_07 - ...	chemocean_08 - ...	chemocean_09 - ...	chemocean_10 - ...	chemocean_NO3-0 - ...	chemocean_NO3-1 - ...	chemocean_NO3-2 - ...	chemocean_NO3-3 - ...	chemocean_NO3-4 - ...	chemocean_BR-1 - ...	chemocean_Br-2 - ...	chemocean_Br-3 - ...	chemocean_Br-0 - ...
333.00	-0.000	0.005	0.009	0.010	0.008	0.008	0.001	0.001	0.001	0.001	0.001	0.022	0.005	0.004	0.006
334.00	-0.000	0.005	0.009	0.010	0.008	0.009	0.001	0.001	0.001	0.001	0.001	0.021	0.005	0.004	0.006
335.00	0.000	0.005	0.009	0.010	0.007	0.008	0.001	0.002	0.001	0.001	0.001	0.022	0.005	0.004	0.006
336.00	-0.000	0.005	0.009	0.009	0.007	0.008	0.001	0.001	0.001	0.001	0.001	0.022	0.005	0.004	0.006
337.00	-0.000	0.005	0.009	0.009	0.007	0.008	0.001	0.001	0.001	0.001	0.002	0.021	0.005	0.004	0.006
338.00	0.000	0.005	0.009	0.009	0.007	0.008	0.001	0.002	0.001	0.001	0.001	0.021	0.005	0.004	0.006
339.00	-0.000	0.005	0.009	0.009	0.007	0.008	0.001	0.002	0.001	0.001	0.001	0.022	0.005	0.004	0.006
340.00	-0.000	0.005	0.009	0.009	0.007	0.007	0.001	0.001	0.001	0.001	0.002	0.021	0.005	0.004	0.006
341.00	-0.000	0.005	0.008	0.009	0.007	0.007	0.000	0.002	0.001	0.001	0.001	0.021	0.005	0.004	0.006
342.00	-0.000	0.005	0.008	0.009	0.006	0.007	0.001	0.002	0.001	0.001	0.001	0.021	0.005	0.004	0.006
343.00	-0.000	0.004	0.009	0.008	0.006	0.007	0.001	0.001	0.001	0.001	0.001	0.021	0.005	0.004	0.006
344.00	-0.000	0.004	0.008	0.008	0.007	0.007	0.001	0.001	0.001	0.001	0.001	0.021	0.005	0.004	0.006
345.00	-0.001	0.005	0.008	0.008	0.006	0.007	0.001	0.002	0.001	0.001	0.001	0.021	0.004	0.004	0.006
346.00	-0.000	0.004	0.009	0.008	0.006	0.007	0.001	0.001	0.001	0.001	0.001	0.021	0.005	0.004	0.006
347.00	0.000	0.004	0.008	0.008	0.006	0.007	0.001	0.001	0.002	0.001	0.002	0.021	0.005	0.004	0.006
348.00	-0.000	0.004	0.008	0.008	0.006	0.006	0.001	0.002	0.001	0.001	0.001	0.021	0.005	0.004	0.006
349.00	-0.000	0.004	0.008	0.008	0.006	0.006	0.001	0.001	0.001	0.001	0.001	0.021	0.005	0.004	0.006
350.00	-0.000	0.004	0.008	0.008	0.006	0.006	0.001	0.001	0.001	0.001	0.001	0.021	0.005	0.004	0.006
351.00	-0.000	0.004	0.008	0.008	0.005	0.006	0.001	0.002	0.001	0.001	0.001	0.021	0.005	0.004	0.006
352.00	-0.000	0.004	0.008	0.007	0.005	0.006	0.001	0.001	0.001	0.001	0.001	0.021	0.005	0.004	0.006
353.00	0.000	0.004	0.007	0.007	0.006	0.006	0.001	0.001	0.001	0.001	0.001	0.021	0.005	0.004	0.006
354.00	-0.000	0.004	0.008	0.007	0.005	0.006	0.001	0.002	0.001	0.001	0.001	0.021	0.005	0.004	0.006
355.00	-0.000	0.004	0.008	0.007	0.005	0.006	0.001	0.001	0.001	0.001	0.001	0.021	0.005	0.004	0.006
356.00	-0.000	0.003	0.007	0.007	0.005	0.006	0.001	0.001	0.001	0.001	0.002	0.021	0.005	0.004	0.006
357.00	-0.000	0.004	0.008	0.007	0.005	0.006	0.001	0.002	0.001	0.001	0.001	0.021	0.005	0.004	0.006
358.00	-0.000	0.004	0.008	0.007	0.005	0.005	0.001	0.002	0.001	0.001	0.001	0.021	0.005	0.004	0.006
359.00	-0.000	0.003	0.007	0.006	0.005	0.005	0.000	0.001	0.001	0.001	0.001	0.020	0.005	0.003	0.006
360.00	-0.000	0.004	0.007	0.007	0.005	0.005	0.001	0.002	0.002	0.001	0.001	0.020	0.005	0.004	0.006
361.00	0.000	0.004	0.007	0.007	0.005	0.005	0.001	0.002	0.001	0.001	0.001	0.020	0.005	0.004	0.006
362.00	-0.000	0.003	0.007	0.006	0.005	0.005	0.001	0.001	0.001	0.001	0.001	0.019	0.005	0.003	0.006
363.00	-0.000	0.004	0.008	0.007	0.005	0.005	0.001	0.002	0.001	0.001	0.001	0.020	0.005	0.004	0.006
364.00	-0.000	0.004	0.008	0.006	0.005	0.005	0.001	0.002	0.001	0.001	0.001	0.020	0.005	0.004	0.006
365.00	-0.000	0.003	0.007	0.006	0.005	0.005	0.000	0.001	0.001	0.001	0.001	0.020	0.005	0.003	0.006
366.00	-0.000	0.004	0.007	0.006	0.004	0.005	0.000	0.001	0.001	0.001	0.001	0.021	0.004	0.003	0.006
367.00	-0.000	0.004	0.007	0.006	0.004	0.005	0.001	0.002	0.001	0.001	0.001	0.021	0.004	0.003	0.006
368.00	-0.000	0.004	0.007	0.006	0.004	0.005	0.001	0.001	0.001	0.001	0.001	0.022	0.004	0.003	0.006
369.00	0.000	0.003	0.007	0.006	0.004	0.005	0.000	0.001	0.001	0.001	0.001	0.021	0.004	0.003	0.005
370.00	-0.000	0.003	0.007	0.006	0.004	0.004	0.001	0.001	0.001	0.001	0.001	0.021	0.004	0.003	0.005
371.00	-0.000	0.003	0.007	0.006	0.004	0.004	0.001	0.001	0.001	0.001	0.001	0.021	0.004	0.003	0.005
372.00	0.000	0.003	0.007	0.005	0.004	0.005	0.000	0.001	0.001	0.001	0.001	0.021	0.004	0.003	0.005
373.00	-0.000	0.003	0.007	0.006	0.004	0.004	0.001	0.001	0.001	0.001	0.001	0.020	0.004	0.003	0.005
374.00	-0.000	0.003	0.007	0.006	0.004	0.004	0.000	0.001	0.001	0.001	0.001	0.021	0.004	0.003	0.005
375.00	0.000	0.003	0.007	0.006	0.004	0.004	0.001	0.001	0.001	0.001	0.001	0.021	0.004	0.003	0.005
376.00	-0.000	0.003	0.007	0.005	0.003	0.004	0.001	0.001	0.001	0.001	0.001	0.020	0.003	0.003	0.005
377.00	-0.000	0.003	0.007	0.005	0.003	0.004	0.001	0.001	0.001	0.001	0.001	0.020	0.003	0.002	0.005
378.00	0.000	0.003	0.007	0.005	0.004	0.004	0.001	0.001	0.001	0.001	0.001	0.020	0.004	0.002	0.005
379.00	-0.000	0.004	0.007	0.005	0.003	0.004	0.001	0.001	0.001	0.001	0.001	0.020	0.003	0.002	0.005
380.00	-0.000	0.003	0.007	0.005	0.003	0.004	0.001	0.001	0.001	0.001	0.001	0.020	0.003	0.002	0.005
381.00	-0.000	0.003	0.006	0.005	0.003	0.004	0.000	0.001	0.001	0.001	0.001	0.020	0.003	0.002	0.005
382.00	-0.000	0.003	0.006	0.005	0.003	0.004	0.001	0.001	0.001	0.001	0.001	0.019	0.003	0.002	0.004
383.00	-0.000	0.003	0.007	0.005	0.003	0.004	0.001	0.001	0.001	0.001	0.001	0.019	0.003	0.002	0.005
384.00	-0.000	0.003	0.006	0.005	0.003	0.003	0.000	0.001	0.001	0.000	0.001	0.019	0.003	0.001	0.004
385.00	-0.000	0.003	0.006	0.005	0.003	0.003	0.000	0.001	0.001	0.000	0.001	0.019	0.003	0.001	0.004
386.00	-0.000	0.003	0.006	0.005	0.003	0.003	0.001	0.001	0.001	0.001	0.001	0.019	0.003	0.002	0.004
387.00	-0.000	0.003	0.006	0.004	0.003	0.003	0.000	0.001	0.001	0.000	0.001	0.019	0.003	0.001	0.004
388.00	-0.000	0.003	0.006	0.005	0.003	0.003	0.000	0.001	0.001	0.001	0.001	0.019	0.003	0.001	0.004
389.00	-0.000	0.003	0.006	0.005	0.003	0.003	0.001	0.001	0.001	0.001	0.001	0.019	0.002	0.002	0.004
390.00	0.000	0.003	0.006	0.004	0.003	0.003	0.000	0.001	0.001	0.000	0.001	0.019	0.002	0.001	0.004
391.00	-0.000	0.003	0.006	0.004	0.003	0.003	0.000	0.001	0.001	0.001	0.001	0.019	0.002	0.001	0.004
392.00	-0.000	0.003	0.006	0.004	0.003	0.003	0.001	0.001	0.001	0.001	0.001	0.018	0.002	0.001	0.004
