lat,long,time,Year,Month,Day,Hour,Minute,Second,CTD,Depth,Press,Salinity,Temperature,Oxygen,ChlF,Turbidity,FDOM,Density,OxygenSaturationConc,OxygenSaturation
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,11.25,21.4637603759766,23.7639146058136,6.29740397135417,311.101806640625,2.95550002027318,0.699033300081889,6.88950032591834,1018.65820273968,324.10835039486,95.9869766581488
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,11.35,21.6088180541992,23.7742844823681,6.29765828450521,311.42226155599,2.93449995288019,0.67523330450058,6.87883363763505,1018.66633667457,324.081686341471,96.0937549639436
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,0.55,10.6526508331299,8.65579091322508,6.05433824327257,349.167836507161,0.918027717465355,0.545488856989514,9.5953706278155,1006.79098841007,364.342038553842,95.8351767183083
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,0.75,10.881386756897,8.65547048180908,6.0546875,349.216817220052,0.976249750239234,0.556349961236231,9.56266689300537,1006.79071561915,364.339742196181,95.8492244395382
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,1.25,11.3984594345093,8.65518686666546,6.05443318684896,350.167744954427,0.929416433754147,0.544716624692195,9.56855578012773,1006.79050694557,364.342800264457,96.1094180261718
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,1.35,11.4852428436279,8.65544844622431,6.05464680989583,350.701904296875,0.911041716734568,0.545033325751622,9.59216690063477,1006.7907006238,364.340168900338,96.2567222152236
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,1.45,11.5596218109131,8.65673685156735,6.0523681640625,350.237701416016,0.92125004529953,0.563233315944672,9.60100030899048,1006.79184830781,364.357302381429,96.1247926491035
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,1.75,11.8703575134277,8.65685653722837,6.05155436197917,349.985168457031,0.908416708310445,0.571249981721242,9.59183390935262,1006.79198992327,364.364334742679,96.0536295914355
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,2.15,12.3007755279541,8.65678085303985,6.04899088541667,349.819407145182,0.922666708628337,0.570883313814799,9.59883403778076,1006.79207926025,364.387702198842,96.0019794944369
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,2.25,12.3965800603231,8.65499040432674,6.0503404405382,350.131205240885,0.938583390580283,0.589311096403334,9.63191715876261,1006.79059008959,364.380307793896,96.0894970863601
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,2.35,12.5351057052612,8.6568614098947,6.04010009765625,350.388661702474,0.913500050703684,0.612366656462351,9.6133337020874,1006.79265869104,364.467846659806,96.1370570582943
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,2.75,12.9195585250854,8.66466555837299,6.01787312825521,349.705851236979,0.89777779032787,0.57913331190745,NaN,1006.80009360791,364.647936689139,95.9023255176409
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,3.05,13.2143177986145,8.67644581450763,5.99006652832031,350.487782796224,0.899826381603883,0.547879159450531,9.61406298478444,1006.8109761603,364.868050411064,96.0587758783926
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,3.15,13.3359832763672,8.69036346680535,5.96195475260417,351.306620279948,0.862250030040741,0.546249985694885,9.66325044631958,1006.82355173793,365.085436913132,96.2258651701677
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,3.55,13.7079954147339,8.70644949397914,5.92357381184896,350.601308186849,0.825083355108897,0.539533317089081,9.68491697311401,1006.83840836096,365.390483516603,95.9525012289813
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,3.95,14.0891399383545,8.72016918402889,5.89776611328125,NaN,0.80716668566068,0.536849985520045,9.69716691970825,1006.85067723186,365.588050653874,NaN
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,4.05,14.1883300145467,8.73666315980904,5.91826883951823,351.6595831977,0.807111137443119,0.541872209972805,9.70227813720703,1006.8625250105,365.357344589521,96.2508591671502
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,4.35,14.4735250473022,8.78662875908125,5.97822062174479,353.655456542969,0.835000028212865,0.547749996185303,9.72675021489461,1006.89849121797,364.67940575999,96.9770847920389
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,4.75,14.9270467758179,8.82427116030292,6.02443440755208,354.001719156901,0.861000031232834,0.541833321253459,9.75075006484985,1006.92548058661,364.160519351837,97.2103510251421
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,4.85,15.0522892475128,8.85181191862408,6.05520968967014,355.126561482747,0.849291704595089,0.54297082622846,9.77202117443085,1006.94537996754,363.809004544433,97.6134611971581
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,5.15,15.3720188140869,8.87701929733542,6.00144449869792,357.070129394531,0.844916691382726,0.554250001907349,9.79375060399373,1006.96838166162,364.226804554053,98.0351047561467
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,5.65,15.799991607666,8.8998940207552,5.95906575520833,357.224548339844,0.850000023841858,0.547116657098134,9.79416720072428,1006.98885776298,364.548699668098,97.9908990664559
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,5.85,16.0421624183655,8.92710788546903,5.92967393663195,357.000139024523,0.849500046836005,0.543477773666382,9.81855583190918,1007.01199263457,364.741782324136,97.8775002824509
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,6.05,16.2504005432129,8.98558241468606,5.88029988606771,356.398640950521,0.888750036557515,0.577583332856496,9.8521671295166,1007.06089671115,365.032301745335,97.6348227941654
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,6.45,16.6550350189209,9.04226251586672,5.8017578125,355.792775472005,0.909250020980835,0.572549998760223,9.84233379364014,1007.10999912941,365.593480124194,97.3192342902671
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,6.65,16.8728036880493,9.09772883265707,5.70982360839844,354.882166544596,0.937291643085831,0.560524985194206,9.84616716702779,1007.15881471866,366.281954207973,96.8877015281774
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,6.75,16.888219833374,9.11096085189509,5.68480428059896,354.45903523763,0.93833331372614,0.574349969625473,9.86150026321411,1007.17061446716,366.474796384617,96.7212585243172
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,6.85,17.0227432250977,9.13254638606207,5.67054239908854,354.32470703125,0.962000032265981,0.594233304262161,NaN,1007.18841570185,366.546818914128,96.6656068877954
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,7.25,17.4372749328613,9.17669984208457,5.65983072916667,354.369445800781,0.987833360830943,0.585916638374329,9.8630002339681,1007.22382763089,366.525338154785,96.6834783059746
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,7.65,17.8722820281982,9.30329083856935,5.65145365397135,353.714042663574,1.06114585200946,0.565691644946734,9.81412553787231,1007.32414793504,366.25956212101,96.5746916244903
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,7.85,18.0145835876465,9.59543443081178,5.67231241861979,352.515055338542,1.15841670831045,0.587516645590464,9.74416716893514,1007.55344535225,365.280582866889,96.5052816582373
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,8.15,18.38498878479,10.0272231582485,5.72362263997396,352.111307779948,1.17675006389618,0.582999984423319,9.68100023269653,1007.89105128031,363.65366304716,96.826003299267
55.9216666666667,12.617,19-Apr-2026 13:04:23,2026,4,19,13,4,23.25,RBR,8.65,18.8826169967651,11.1684480543233,5.82179768880208,349.147171020508,1.61831063838631,0.586462492744128,9.11650347950395,1008.78466897374,359.728123644739,97.0586251313837
